GATE_DS_DP: -2012.049,221.3045,-1499.246,206.6269,1,0
GATE_SB_DP: -1950.049,-326.6955,-1542.246,-172.3731,1,1
GATE_SH_DP: 3604.95,128.3044,2793.756,85.627,2,1
DP_IN07: -1718.049,222.3046,-1382.246,190.6269,1,1
DP_finalshelter: -2011.479,326.8125,-1492.229,327.7292,2,0
DP_IN03: -1403.049,77.30475,-1087.246,5.627208,1,1
DP_basiccon: -1150.129,200.1618,-943.0415,160.2476,1,1
DP_LE05: -1124.049,500.3044,-839.2449,357.6268,1,1
DP_simplecon: -1421.935,561.9429,-1050.296,434.5988,1,1
DP_DE04: -846.0496,272.3046,-612.2449,164.627,1,1
DP_DEA08: 165.9507,413.3046,195.7545,317.6268,1,1
DP_LEA07: 108.9505,551.3044,129.7549,458.6267,1,1
DP_LEA04: -64.04942,767.3049,48.75493,584.6269,1,1
DP_bridgetosec: 522.1144,237.8375,181.9308,180.0043,1,1
DP_belltower: 1324.114,240.8373,1013.932,201.0043,1,1
DP_connectiontodarkex: 1428.114,128.8375,1165.928,74.00455,1,1
DP_DE07: 1801.95,-25.69551,1270.754,-5.372881,1,1
DP_pipedown: 2079.871,-207.8383,1613.957,-159.7524,1,1
DP_LES08: 2118.949,-245.6956,1790.754,-148.3731,2,1
DP_brokensegment: -610.1356,512.5872,-524.4939,498.1541,1,1
DP_bellwall: -195.1355,554.5872,-193.4941,455.1541,1,1
DP_trashshelter: 52.521,488.8125,82.77101,333.7292,2,0
DP_FIA10: -30.13562,383.5872,-28.49396,350.1541,2,1
DP_FI05: 30.86423,224.5872,-13.49395,166.1543,1,1
DP_FE03: -439.136,64.58732,-435.4942,17.15458,2,1
DP_IN04: -1192.05,-84.69553,-921.2445,-128.3731,1,1
DP_IN05: -856.0496,-189.6955,-775.2449,-84.37281,2,1
DP_FIA07: -1055.049,-365.6955,-881.2449,-264.373,1,1
DP_FEA06: -908.0496,-348.6954,-736.2449,-252.373,1,1
DP_FE02: -748.0496,-393.6954,-591.2449,-286.3732,1,1
DP_FEA07: -586.0496,-435.6954,-483.2449,-264.373,1,1
DP_FE05: -314.0497,-388.6954,-343.2457,-331.3732,1,1
DP_FI04: -1276.049,-399.6955,-1089.246,-287.3732,1,1
DP_FIA09: -1501.049,-447.6954,-1203.246,-258.373,1,1
DP_FIA08: -1501.049,-336.695,-1198.246,-132.3731,1,1
DP_FIS01: -1497.049,-251.6954,-1197.246,13.62723,2,1
DP_FI02: -1727.05,-395.6955,-1405.246,-273.3732,1,1
DP_IN01: 99.95036,-231.6954,-63.24522,-196.3731,1,1
DP_FE04: 430.9503,-179.6955,260.7544,-393.3732,1,1
DP_FE01: 685.9504,-487.6955,404.7545,-411.3732,1,1
DP_TBA06: 868.9504,-487.6955,687.7551,-390.3732,2,1
DP_TB02: 1372.95,-516.6954,917.7555,-416.3732,1,1
DP_TB03: 2292.95,-417.6955,1648.754,-391.3732,1,1
DP_INA06: 2579.95,-356.6955,1964.754,-376.3732,1,1
DP_LE03: 2720.95,-371.6955,2071.753,-443.3732,2,1
DP_TB05: 3223.95,-330.6955,2374.756,-281.3732,2,1
DP_BOGGATE: 3460.173,-47.69569,2679.864,-182.6509,2,1
OffScreenDen_DP: -2838.05,1193.304,-767.2449,948.6261,1,1
Connection: GATE_DS_DP,DP_IN07,45,9,1,15,0,2
Connection: GATE_SB_DP,DP_FI02,45,9,3,60,0,2
Connection: GATE_SH_DP,DP_BOGGATE,2,9,42,125,2,0
Connection: DP_IN07,DP_finalshelter,7,23,22,19,1,0
Connection: DP_IN07,DP_IN03,133,8,6,101,0,2
Connection: DP_IN03,DP_simplecon,21,104,8,4,1,2
Connection: DP_IN03,DP_basiccon,63,69,4,8,0,2
Connection: DP_IN03,DP_IN04,61,15,6,70,0,2
Connection: DP_basiccon,DP_LE05,78,69,25,11,1,3
Connection: DP_basiccon,DP_DE04,95,8,3,46,0,2
Connection: DP_LE05,DP_simplecon,13,65,36,27,2,0
Connection: DP_LE05,DP_brokensegment,118,44,19,12,2,3
Connection: DP_LE05,DP_DE04,118,33,22,72,2,0
Connection: DP_DE04,DP_FE03,72,27,8,24,3,3
Connection: DP_DEA08,DP_LEA07,2,27,5,11,2,2
Connection: DP_DEA08,DP_FIA10,2,12,40,15,2,3
Connection: DP_DEA08,DP_bridgetosec,16,1,7,25,3,2
Connection: DP_LEA07,DP_LEA04,4,19,3,2,2,3
Connection: DP_LEA04,DP_bellwall,20,32,81,100,2,1
Connection: DP_bridgetosec,DP_FI05,14,11,42,14,2,0
